Reading Airport file from airports.txt
There were 5738 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 Routes with IATA code
9.69492310038e-05 Wendover, United States
9.69492310038e-05 Lamidanda, Nepal
9.69492310038e-05 Las Vegas Muni, United States
9.69492310038e-05 Lago Argentino Airport, Argentina
9.69492310038e-05 Nelspruit Airport, South Africa
9.69492310038e-05 Kempten HBF, Germany
9.69492310038e-05 Central, Denmark
9.69492310038e-05 All Airports, United States
9.69492310038e-05 Lowell City Airport, United States
9.6886764404e-05 Toliara, Madagascar
9.68453499331e-05 Bydgoszcz Ignacy Jan Paderewski Airport, Poland
9.68221648572e-05 Andenes, Norway
9.67338576734e-05 Ibadan, Nigeria
9.66322287746e-05 Palanga Intl, Lithuania
9.65890499179e-05 Igdir, Turkey
9.65507687067e-05 Nea Anchialos, Greece
9.65463602709e-05 Oguzeli, Turkey
9.64816315113e-05 F D Roosevelt, Netherlands Antilles
9.63349478215e-05 Hilo Intl, United States
9.62701793968e-05 Rimatara, French Polynesia
9.61974365803e-05 Changzhi Airport, China
9.58385997934e-05 Gainesville Rgnl, United States
9.57892175688e-05 Pico, Portugal
9.56586996109e-05 Mae Sot Airport, Thailand
9.56396223688e-05 Port Sudan New International Airport, Sudan
9.56323512934e-05 Allahabad, India
9.55781195393e-05 Port Menier, Canada
9.55396221884e-05 Dodge City Regional Airport, United States
9.55230886676e-05 Sarasota Bradenton Intl, United States
9.54999109371e-05 Chios, Greece
9.54486553541e-05 Bacau, Romania
9.53644822344e-05 Milingimbi Airport, Australia
9.53502331923e-05 Erie Intl Tom Ridge Fld, United States
9.52641669471e-05 Pulau Tioman, Malaysia
9.51584585754e-05 Shreveport Rgnl, United States
9.50850081807e-05 Valley Intl, United States
9.4653896965e-05 Bukhara, Uzbekistan
9.46292320677e-05 Tjilik Riwut, Indonesia
9.44473649245e-05 Maquehue, Chile
9.43028857974e-05 Naxos, Greece
9.42932499895e-05 Atiu Island Airport, Cook Islands
9.42915435217e-05 Svolvær Helle Airport, Norway
9.42914306307e-05 Silchar, India
9.42892832988e-05 Cabo Velas Airport, Costa Rica
9.41811096037e-05 Eday Airport, United Kingdom
9.41140716949e-05 Jing Gang Shan Airport, China
9.4082481777e-05 Tri State Milton J Ferguson Field, United States
9.39777827821e-05 Grand Junction Regional, United States
9.39369362423e-05 Sunshine Coast, Australia
9.38611962097e-05 Jimma, Ethiopia
9.378660055e-05 Hami Airport, China
9.34860864147e-05 Julia Creek Airport, Australia
9.34598010495e-05 Woerthersee International Airport, Austria
9.33828898677e-05 Aspen Pitkin County Sardy Field, United States
9.32656731588e-05 Changde Airport, China
9.32560070458e-05 Erzincan, Turkey
9.32560070458e-05 Mus Airport, Turkey
9.31061393384e-05 Taupo, New Zealand
9.31061393384e-05 Wanganui, New Zealand
9.30166291507e-05 Kamembe, Rwanda
9.29725694137e-05 Governador Valadares Airport, Brazil
9.28849844886e-05 Poplar Hill Airport, Canada
9.28023701638e-05 Montoir, France
9.28023701638e-05 Frescaty, France
9.28023701638e-05 Taplejung, Nepal
9.28023701638e-05 Spencer Muni, United States
9.28023701638e-05 Kota Kinabalu Airport, Malaysia
9.28023701638e-05 Clinton Municipal, United States
9.27767867744e-05 Urgench Airport, Uzbekistan
9.27344605158e-05 Kegaska Airport, Canada
9.27269643764e-05 Fascene, Madagascar
9.26554739855e-05 Burlington-Alamance Regional Airport, United States
9.25982499593e-05 Tagbilaran, Philippines
9.25982499593e-05 Laoag Intl, Philippines
9.24606389596e-05 Vunisea Airport, Fiji
9.24295481759e-05 Paulatuk, Canada
9.23679607966e-05 Vaasa, Finland
9.23634108882e-05 Kingston, Canada
9.2314874918e-05 Watertown Intl, United States
9.22436768157e-05 Godofredo P, Philippines
9.22436768157e-05 Butuan, Philippines
9.21537561969e-05 Dehradun, India
9.21422913507e-05 Kawthoung Airport, Burma
9.20850278311e-05 Rahadi Usman, Indonesia
9.19650832509e-05 Thief River Falls, United States
9.19364193979e-05 Fatmawati Soekarno, Indonesia
9.17885589276e-05 Aurukun Airport, Australia
9.17540907073e-05 Cloncurry Airport, Australia
9.17443291659e-05 Biard, France
9.16823289708e-05 Antsirabato, Madagascar
9.16359262383e-05 Wilkes Barre Scranton Intl, United States
9.15436432056e-05 Jonkoping, Sweden
9.15158094271e-05 Yacuiba, Bolivia
9.15048521884e-05 Ulaangom Airport, Mongolia
9.1404565674e-05 Licenciado Y Gen Ignacio Lopez Rayon, Mexico
9.13856849337e-05 Lar Airport, Iran
9.13822027514e-05 Funafuti International, Tuvalu
9.13279153955e-05 Pangsuma Airport, Indonesia
9.11882392418e-05 Piedras Negras Intl, Mexico
9.11608101816e-05 Marina Di Campo, Italy
9.1136964812e-05 Araxos, Greece
9.111607274e-05 Memanbetsu, Japan
9.10862868605e-05 Hughenden Airport, Australia
9.10778215025e-05 Sheikh Zayed, Pakistan
9.09655041123e-05 Charles M Schulz Sonoma Co, United States
9.09186764802e-05 Perales, Colombia
9.09186764802e-05 Los Garzones, Colombia
9.08814754028e-05 Batumi, Georgia
9.07087494644e-05 Fredericton, Canada
9.06757054943e-05 Westerland Sylt, Germany
9.06616357684e-05 Camilo Daza, Colombia
9.06386667329e-05 Churchill Falls Airport, Canada
9.06358158956e-05 Falls Intl, United States
9.05821853472e-05 Lake Charles Rgnl, United States
9.03547110833e-05 Guillermo Leon Valencia, Colombia
9.03148127109e-05 Cheboksary Airport, Russia
9.03101282328e-05 Sulaymaniyah International Airport, Iraq
9.02568499116e-05 Zenata, Algeria
9.01950084801e-05 Lawas Airport, Malaysia
9.01748717232e-05 Watertown Regional Airport, United States
9.00652650541e-05 Tupelo Regional Airport, United States
8.98815252424e-05 Vieques Airport, Puerto Rico
8.97329676253e-05 Alma Airport, Canada
8.97203012348e-05 Caye Chapel Airport, Belize
8.97169675433e-05 Tepic, Mexico
8.96854448986e-05 Sainte Marie, Madagascar
8.967512205e-05 Yasuj Airport, Iran
8.96268906722e-05 Liping Airport, China
8.96268780878e-05 Castlegar, Canada
8.94693272917e-05 Maradi, Niger
8.94693272917e-05 Norderney, Germany
8.94693272917e-05 Lyneham, United Kingdom
8.94693272917e-05 Hudiksvall, Sweden
8.94693272917e-05 Tiko, Cameroon
8.94693272917e-05 Culebra Airport, Puerto Rico
8.94693272917e-05 Kindu, Congo (Kinshasa)
8.94693272917e-05 Port Said, Egypt
8.94693272917e-05 Lake Manyara, Tanzania
8.94693272917e-05 Tanga, Tanzania
8.94693272917e-05 Bassel Al Assad Intl, Syria
8.94693272917e-05 Baguio, Philippines
8.94693272917e-05 Antonio Jose De Sucre, Venezuela
8.94693272917e-05 San Fernando De Apure, Venezuela
8.94693272917e-05 Jaisalmer, India
8.94693272917e-05 Woomera, Australia
8.94693272917e-05 Elizabeth City Cgas Rgnl, United States
8.94693272917e-05 Lawson Aaf, United States
8.94693272917e-05 Dobbins Arb, United States
8.94693272917e-05 Shaw Afb, United States
8.94693272917e-05 Mc Minnville Muni, United States
8.94693272917e-05 Ozona Muni, United States
8.94693272917e-05 Salerno Pontecagnano Airport, Italy
8.94693272917e-05 Constanza Airport, Dominican Republic
8.94693272917e-05 Awasa Airport, Ethiopia
8.94693272917e-05 Alalamain Intl., Egypt
8.94693272917e-05 Henderson Executive Airport, United States
8.94693272917e-05 Nicosia International Airport, Cyprus
8.94693272917e-05 Germack Airport, United States
8.94693272917e-05 Zoo, Germany
8.94693272917e-05 Frankfurt Oder Hbf, Germany
8.94091826809e-05 Jalaluddin, Indonesia
8.93783931999e-05 Gibraltar, Gibraltar
8.93274731513e-05 Bratsk, Russia
8.93025087855e-05 Lleida-Alguaire Airport, Spain
8.92365577243e-05 Charlottesville-Albemarle, United States
8.92324571174e-05 Dnipropetrovsk Intl, Ukraine
8.91943125049e-05 Ardabil Airport, Iran
8.90619369328e-05 Gillette-Campbell County Airport, United States
8.89463523397e-05 Gisborne, New Zealand
8.89463523397e-05 Whangarei, New Zealand
8.89316236912e-05 Kvernberget, Norway
8.87167956288e-05 Altamira, Brazil
8.86739783119e-05 Vancouver Coal Harbour, Canada
8.86410509652e-05 Uraj, Russia
8.85403631275e-05 Playa De Oro Intl, Mexico
8.84726867134e-05 Mahshahr, Iran
8.84241045112e-05 Kruger Mpumalanga International Airport, South Africa
8.83632034923e-05 Sialkot Airport, Pakistan
8.83515391933e-05 Barquisimeto Intl, Venezuela
8.8015304459e-05 Humberside, United Kingdom
8.79573451399e-05 Clovis Muni, United States
8.78967519117e-05 Xoxocotlan Intl, Mexico
8.78459706801e-05 Valan, Norway
8.77784565367e-05 Middle Georgia Rgnl, United States
8.77752691666e-05 Udon Thani, Thailand
8.77120274445e-05 Mc Allen Miller Intl, United States
8.76819368459e-05 Kumejima, Japan
8.76207417978e-05 Yellowstone Rgnl, United States
8.75723634717e-05 Marshall Don Hunter Sr. Airport, United States
8.74906938888e-05 Crooked Creek Airport, United States
8.7415165251e-05 Wai Oti, Indonesia
8.7382363292e-05 Windsor, Canada
8.73776438622e-05 Leros, Greece
8.73434731453e-05 Nukus Airport, Uzbekistan
8.73124492222e-05 Stefan Cel Mare, Romania
8.71457183095e-05 Sydney, Canada
8.71324839097e-05 Weifang Airport, China
8.71028459734e-05 Gloucestershire, United Kingdom
8.70514681794e-05 Pyongyang Intl, Korea
8.69949223732e-05 Oued Irara, Algeria
8.68132117471e-05 Malanje, Angola
8.67946206668e-05 Pardubice, Czech Republic
8.67761813312e-05 Benin, Nigeria
8.67761813312e-05 Calabar, Nigeria
8.6744585719e-05 Zhoushan Airport, China
8.66805467596e-05 Takamatsu, Japan
8.66649053526e-05 Mario Ribeiro, Brazil
8.66056958994e-05 Udaipur, India
8.65596747689e-05 Gulfport-Biloxi, United States
8.6530919472e-05 Francisco De Orellana, Ecuador
8.64605707854e-05 San Cristóbal Airport, Ecuador
8.62818785074e-05 Wynyard Airport, Australia
8.62002548496e-05 Padre Aldamiz, Peru
8.61806015813e-05 Turku, Finland
8.6152875589e-05 Florence Rgnl, United States
8.61362844197e-05 Downsview, Canada
8.61362844197e-05 Wilhelmshaven Mariensiel, Germany
8.61362844197e-05 Faya Largeau, Chad
8.61362844197e-05 San Andros, Bahamas
8.61362844197e-05 Clear, United States
8.61362844197e-05 Acadiana Rgnl, United States
8.61362844197e-05 Lopez Island Airport, United States
8.61362844197e-05 Kalkgurung Airport, Australia
8.61362844197e-05 RUDNIKI , Poland
8.61362844197e-05 Zhytomyr, Ukraine
8.60894208125e-05 Victoria Falls Intl, Zimbabwe
8.6076369061e-05 Kangiqsualujjuaq (Georges River) Airport, Canada
8.60702903246e-05 South Naknek Airport, United States
8.59060662241e-05 Ignacio Agramonte Intl, Cuba
8.58683480507e-05 Daytona Beach Intl, United States
8.58592387853e-05 Mwanza, Tanzania
8.58474118144e-05 Choibalsan Airport, Mongolia
8.57658545048e-05 Bom Jesus Da Lapa, Brazil
8.55442581666e-05 Vias, France
8.55071294355e-05 Wolter Monginsidi, Indonesia
8.54439955245e-05 Capital City, United States
8.54015401238e-05 Laredo Intl, United States
8.53572390657e-05 Hydaburg Seaplane Base, United States
8.53243746166e-05 Santa Cruz/Graciosa Bay/Luova Airport, Solomon Islands
8.53243746166e-05 Afutara Airport, Solomon Islands
8.52860098108e-05 Cachimbo, Brazil
8.52828237532e-05 Dibrugarh Airport, India
8.51687002801e-05 Annaba, Algeria
8.50305417324e-05 Levaldigi, Italy
8.50099470603e-05 New Plymouth, New Zealand
8.50099470603e-05 Tauranga, New Zealand
8.49725695094e-05 Hermanos Serdan Intl, Mexico
8.49646558335e-05 Kushiro Airport, Japan
8.49405862031e-05 Jiamusi Airport, China
8.49135584747e-05 Yibin, China
8.48947036039e-05 Clemson, United States
8.4829980019e-05 Ceduna Airport, Australia
8.48005052217e-05 Bradford Regional Airport, United States
8.47745011714e-05 Yulin Airport, China
8.45247488596e-05 Mfuwe, Zambia
8.45114821794e-05 Tamale, Ghana
8.43583508463e-05 Teniente Benjamin Matienzo, Argentina
8.43583508463e-05 Capitan Corbeta C A Curbelo International Airport, Uruguay
8.43551281814e-05 Aizawl, India
8.42918387393e-05 Paraburdoo Airport, Australia
8.42732680682e-05 Simara, Nepal
8.42053229518e-05 Drake Bay Airport, Costa Rica
8.4169290194e-05 Fort Hope Airport, Canada
8.41544490303e-05 Depati Amir, Indonesia
8.41196506664e-05 Bhavnagar, India
8.40885465385e-05 Morondava, Madagascar
8.40162709115e-05 Amarais Airport, Brazil
8.39859989342e-05 Biratnagar, Nepal
8.39859989342e-05 Tumling Tar, Nepal
8.3953239539e-05 Roi Et, Thailand
8.3953239539e-05 Chumphon, Thailand
8.3907848855e-05 Valladolid, Spain
8.372953446e-05 Marcillac, France
8.36706733077e-05 Huron Rgnl, United States
8.3556201826e-05 Tomsk Bogashevo Airport, Russia
8.35147398278e-05 General Lucio Blanco Intl, Mexico
8.34861942709e-05 Pantelleria, Italy
8.34312318256e-05 Pueblo Memorial, United States
8.34273164759e-05 Leh, India
8.34089801111e-05 Kochi, Japan
8.33471826985e-05 Rae Lakes Airport, Canada
8.33031979784e-05 Wrigley, Canada
8.33031979784e-05 Kauhava, Finland
8.33031979784e-05 Oudtshoorn, South Africa
8.33031979784e-05 Manakara, Madagascar
8.33031979784e-05 Negage, Angola
8.33031979784e-05 Mvengue, Gabon
8.33031979784e-05 Brenoux, France
8.33031979784e-05 Maupertus, France
8.33031979784e-05 Door County Cherryland Airport, United States
8.33031979784e-05 Bluefields, Nicaragua
8.33031979784e-05 Marka Intl, Jordan
8.33031979784e-05 Tinian Intl, Northern Mariana Islands
8.33031979784e-05 Kitadaito, Japan
8.33031979784e-05 Comodoro Pierrestegui, Argentina
8.33031979784e-05 Baracoa, Colombia
8.33031979784e-05 Pattani, Thailand
8.33031979784e-05 Patrick Afb, United States
8.33031979784e-05 Winkler Co, United States
8.33031979784e-05 Nakhon Ratchasima, Thailand
8.33031979784e-05 Nuku Airport, Papua New Guinea
8.33031979784e-05 Ilford Airport, Canada
8.33031979784e-05 Stony Rapids Airport, Canada
8.33031979784e-05 Oakey Airport, Australia
8.33031979784e-05 Klawock Seaplane Base, United States
8.33031979784e-05 Rio Sidra, Panama
8.33031979784e-05 Cimei Airport, Taiwan
8.33031979784e-05 Shively Field Airport, United States
8.33031979784e-05 London St Pancras, United Kingdom
8.33031979784e-05 Fenosu, Italy
8.33031979784e-05 Marktoberdorf Schule, Germany
8.33031979784e-05 Khwai River Lodge, Botswana
8.33031979784e-05 Dallas Executive Airport, United States
8.33031979784e-05 Mountain Home Municipal Airport, United States
8.33031979784e-05 Capital City Airport, United States
8.33031979784e-05 Sun Moon Lake Airport, Taiwan
8.33031979784e-05 Lewiston Maine, United States
8.33031979784e-05 Hola, Kenya
8.33031979784e-05 Peenemunde Airfield, Germany
8.33031979784e-05 Eagle's Nest Airport, United States
8.33031979784e-05 Albian Aerodrome, Canada
8.33031979784e-05 Velikiye Luki, Russia
8.31860416402e-05 Morgantown Muni Walter L Bill Hart Fld, United States
8.31668580424e-05 Spring Point, Bahamas
8.31166247161e-05 Mitiaro Island Airport, Cook Islands
8.31166247161e-05 Mangaia Island Airport, Cook Islands
8.30900174481e-05 Belep Islands Airport, New Caledonia
8.30835337764e-05 El Calafate, Argentina
8.30476166031e-05 Al Ain International Airport, United Arab Emirates
8.29717958347e-05 Buon Ma Thuot Airport, Vietnam
8.28842800274e-05 Elazig, Turkey
8.28842800274e-05 Diyarbakir, Turkey
8.28802547672e-05 Lubeck Blankensee, Germany
8.28747568315e-05 Ithaca Tompkins Rgnl, United States
8.28235472826e-05 Ikaria, Greece
8.27769821842e-05 Albury, Australia
8.2694553438e-05 Dipolog, Philippines
8.26597610276e-05 Soyo, Angola
8.2648820632e-05 Eglin Afb, United States
8.26210437953e-05 Prince Rupert, Canada
8.25618154635e-05 Almirante Zar, Argentina
8.25231861403e-05 Kagau Island Airport, Solomon Islands
8.25231861403e-05 Ballalae Airport, Solomon Islands
8.25069306805e-05 Coen Airport, Australia
8.24343198965e-05 Port Lions Airport, United States
8.24102517167e-05 Pokhara, Nepal
8.22975561391e-05 Oriximina Airport, Brazil
8.22153174014e-05 Ukhta, Russia
8.21946051424e-05 Tte De Av Salvador Ogaya G, Bolivia
8.21318675837e-05 Yan'an Airport, China
8.20298618688e-05 Magdeburg-Cochstedt, Germany
8.19560463993e-05 Kavieng Airport, Papua New Guinea
8.19560463993e-05 Buka Airport, Papua New Guinea
8.19252416158e-05 Fort Chipewyan, Canada
8.18363250301e-05 Lismore Airport, Australia
8.18363250301e-05 Moree Airport, Australia
8.17701946584e-05 Nakhon Phanom, Thailand
8.17469680094e-05 Roberval, Canada
8.16990015931e-05 Galcaio Airport, Somalia
8.15890592881e-05 Porbandar, India
8.15837721754e-05 Ciudad del Este, Paraguay
8.15391371035e-05 Tuguegarao Airport, Philippines
8.15145443103e-05 Pichoy, Chile
8.14640930692e-05 Belbek Sevastopol International Airport, Ukraine
8.14549660897e-05 Surigao Airport, Philippines
8.1382503832e-05 Soummam, Algeria
8.13313167875e-05 Yakima Air Terminal McAllister Field, United States
8.12894522342e-05 Sultan Thaha, Indonesia
8.12853990081e-05 Astypalaia, Greece
8.12366711636e-05 Shpakovskoye, Russia
8.11484091002e-05 Rochester, United States
8.10837087157e-05 Akureyri, Iceland
8.10837087157e-05 Egilsstadir, Iceland
8.10837087157e-05 Isafjordur, Iceland
8.10759358835e-05 Vilo Acuna Intl, Cuba
8.1057720454e-05 Kabri Dehar Airport, Ethiopia
8.1057720454e-05 Gode Airport, Ethiopia
8.1005415263e-05 El Fashir, Sudan
8.09922344206e-05 Røst Airport, Norway
8.09727584075e-05 Long Lellang Airport, Malaysia
